objectid,username,date,status,side,notes,lat,lng,specclass,dateUTC,created_user,created_date,last_edited_user,last_edited_date,obs_type,groupname,Total Birds,Alive,Dead,location,species,tag,collision_time,status_dead,status_alive,collected,body_inaccessible,alpha_code,GlobalID,Unknown,status_unknown,sighted,rehab_centre,case_number,observations,third_party,third_party_involvement,x,y
1123129,nancyd,,Dead,Northeast,collision with window,,,,"1/7/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"9316 28th Ave NW, Seattle, Washington, 98117 (distance from point: 7m)",Varied Thrush,9316,11:00-11:59 am,,,,,,767bbf65-c117-43da-a1a3-010045ed1b09,,,,,,,,,-122.393,47.697
1123130,dkguevara,,Dead,South,Found at 4:15pm but too decomposed to collect. Yellow underside with olive tones on tail.,,,,"1/5/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"1/24/24, 11:10 AM",Standard,FLAP Canada,1,0,1,"2 Overlea Blvd, Toronto, Ontario, M4H 1P4 (distance from point: 23m)",Unknown,,Unknown,,,,,,fa9bf5db-f71c-4536-ab9f-6d3e6494358f,,,,,,,,,-79.353,43.702
1123131,BOBull,,Dead,South,,,,,"1/8/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,1,0,1,"South Bay Investment Co.,LTD. (distance from point: 7m)",Zosterops sp.,,10:00-10:59 am,,,,,,869aa83d-4b25-450c-b474-4dfe554fe9aa,,,,,,,,,114.209,22.292
1123132,BOBull,,Dead,South,,,,,"1/8/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,1,0,1,香港東區北角渣華道333-333 (distance from point: 6m),Zosterops sp.,,Unknown,,,,,,25f2a9ca-27fe-4e64-b65c-bd3fc903edea,,,,,,,,,114.208,22.292
1123530,hkbws_1957,,None,South,Photo taken by Jay.,,,,"1/8/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,0,0,0,茶星人 (distance from point: 7m),Unknown,imprint,Unknown,,,,,,e12c1f2c-6605-4b42-af23-f3bc296052dd,,,,,,,,,113.976,22.394
1123929,lyne,,Multiple,Southwest,"8 birds died, likely spooked by hawk, were eating berries in nearby tree that reflects in building windows",,,,"1/3/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,8,0,8,"554 Old St Patrick St, Ottawa, Ontario, K1N 5L5 (distance from point: 17m)",Bohemian Waxwing,,11:00-11:59 am,,,,,,2ecb4abf-3ae1-447b-9b6e-4c2c55e882eb,,,,,,,,,-75.683,45.435
1126329,cramsey,,Dead,Southwest,Struck bird viewing window,,,,"1/10/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Detroit Zoological Society,1,0,1,"176 Lakeside, Detroit, Michigan, 48207 (distance from point: 6m)",House Sparrow,,10:00-10:59 am,,,,,,70413ed9-f256-4341-8c43-04433c4c1769,,,,,,,,,-82.964,42.347
1127129,hkbws_1957,,Dead,West,,,,,"1/12/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,1,0,1,惠康天后店 (distance from point: 4m),Japanese White-eye,,Unknown,,,,,,260ed0d7-02ec-4ab9-9706-1ca094d10f51,,,,,,,,,114.192,22.282
1127130,hkbws_1957,,Dead,West,,,,,"1/12/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,1,0,1,百樂商業中心 (distance from point: 0m),Unknown,,Unknown,,,,,,5dbbb3a1-e411-401d-bfb0-c67ba7e83530,,,,,,,,,114.192,22.282
1128729,nschuller,,Alive,North,,,,,"1/27/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,"103 North Hilltop Drive, Flagstaff, Arizona, 86001 (distance from point: 14m)",House Finch,,11:00-11:59 am,,,,,,6354edee-68b9-463f-8124-8c55582fc242,,,,,,,,,-111.638,35.196
1129163,sjm.curst,,Alive,East,"Sharp-shinned hawk scared flicker into window. After 45 minutes, flicker flew off. Windows are marked with FF tape",,,,"1/28/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",broughk,"9/3/24, 3:40 PM",Standard,Calgary Urban Species Response Team,1,1,0,"90 Cranberry Mews SE, Calgary, Alberta, T3M 0L6 (distance from point: 14m)",Northern Flicker,,1:00-1:59 pm,,,,,,83c65dd7-5ac2-4e67-a5d1-8010cd238df7,,,,,,,,,-113.975,50.882
1129166,sjm.curst,,Alive,West,"Found chickadee under tree with wings spread, presumably after window strike. Flew into shrub as I approached. Windows are marked with FF tape",,,,"1/30/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",broughk,"9/3/24, 3:40 PM",Standard,Calgary Urban Species Response Team,1,1,0,"90 Cranberry Mews SE, Calgary, Alberta, T3M 0L6 (distance from point: 14m)",Black-capped Chickadee,,8:00-8:59 am,,,,,,9583553b-8a4f-4f81-bce1-8959d15673be,,,,,,,,,-113.975,50.882
1129211,abbbie,,Multiple,Unknown,Found two birds dead,,,,"1/31/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"1/31/24, 10:17 AM",Standard,,2,0,2,康正實業有限公司 (distance from point: 13m),Unknown,,Unknown,,,,,,f713b4fd-e939-4097-8dd6-14b50a1a8a95,,,,,,,,,114.106,22.374
1129533,zoe_so,,Dead,South,"It’s on third floor of Run Run Shaw Tower, but hard to observe it.",,,,"1/31/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,香港中西區西區薄扶林道78號香港大學香港大學逸夫教學樓 (distance from point: 34m),unknown ,,Unknown,,,,,,dde27755-15c3-400d-adb9-54203589997b,,,,,,,,,114.134,22.284
1129534,zoe_so,,Dead,East,"I found this dead body on 30/1/2023, the date of collision is unknown. It can be observed on the 2nd floor of Chi Wah Learning Commons.",,,,"1/30/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,香港中西區西區薄扶林道78號香港大學香港大學逸夫教學樓 (distance from point: 26m),unknown ,,Unknown,,,,,,535f83a4-d066-4f99-bdb2-622562be87de,,,,,,,,,114.135,22.283
1129929,hkbws_1957,,Multiple,East,Screenshot of a post from Facebook Group named Hong Kong Pigeon and Dove Rescue.,,,,"1/28/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,4,0,4,嘉里中心 (distance from point: 0m),Chestnut Bulbul,,11:00-11:59 am,,,,,,3f9317cc-8dfb-43e1-b6d9-12548478848d,,,,,,,,,114.21,22.291
1129930,hkbws_1957,,Multiple,East,Screenshot of a post from Facebook Group named Hong Kong Pigeon and Dove Rescue.,,,,"1/28/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,4,0,4,嘉里中心 (distance from point: 0m),Japanese White-eye,,11:00-11:59 am,,,,,,726d89ef-1d05-4a0a-999e-1a634a654013,,,,,,,,,114.21,22.291
1130330,Sze,,Dead,Southeast,Report by Shirley Tse,,,,"1/6/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",broughk,"12/1/23, 2:09 PM",Standard,,1,0,1,陳俊銘醫生醫務所 (distance from point: 9m),Rock Pigeon,"#Hong Kong,#MTR,#The Lane",Unknown,,,,,,799d52cf-28af-4c91-a34a-fc242425e4a0,,,,,,,,,114.265,22.315
1130332,Sze,,Multiple,East,,,,,"1/29/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,8,1,7,嘉里中心 (distance from point: 12m),Swinhoe's White-eye,"#Hong Kong,#North Point,#Kerry Centre",12:00-12:59 pm,,,,,,2b9120a7-d755-401d-a02b-83b0ba29e4ff,,,,,,,,,114.21,22.291
1131129,ray728,,Dead,Northeast,,,,,"2/8/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,港捷國際貨運有限公司 (distance from point: 7m),Unknown,,12:00-12:59 pm,,,,,,2128c243-ba8b-4ed0-8f3c-58061546c033,,,,,,,,,114.193,22.288
1131130,ray728,,Dead,Unknown,,,,,"2/8/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,香港麗東酒店 (distance from point: 3m),Unknown,,12:00-12:59 pm,,,,,,82f825df-37b7-4236-991b-de4db543aaee,,,,,,,,,114.193,22.289
1131929,KathJohnson,,None,North,B01 - Checked on foot. No finds. ,,,,"2/12/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Calgary Urban Species Response Team,0,0,0,"500-520 Centre St S, Calgary, Alberta, T2G (distance from point: 5m)",Unknown,,Unknown,,,,,,cd8038fc-f7be-49c3-a862-947e1d78b3c9,,,,,,,,,-114.063,51.048
